image_id,mask_source,raw_mask_count,seeded_mask_count,nucleus_count,budneck_count,mask_union_labels,fallback_dot_labels
85min_after_washout_frame_017,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_017.png,6,23,12,8,6,0
85min_after_washout_frame_018,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_018.png,6,20,9,7,6,0
85min_after_washout_frame_019,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_019.png,6,26,10,12,6,0
85min_after_washout_frame_020,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_020.png,5,16,10,8,5,0
85min_after_washout_frame_021,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_021.png,6,20,10,9,6,0
85min_after_washout_frame_022,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_022.png,6,19,10,9,6,0
85min_after_washout_frame_023,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\85min after washout_frame_023.png,5,19,9,10,5,0
Colorado+htb2-GFP_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_000.png,10,29,16,20,10,0
Colorado+htb2-GFP_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_001.png,10,27,15,12,10,0
Colorado+htb2-GFP_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_002.png,10,36,16,16,10,0
Colorado+htb2-GFP_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_003.png,10,26,14,13,9,0
Colorado+htb2-GFP_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_004.png,10,31,15,14,10,0
Colorado+htb2-GFP_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_005.png,7,22,12,13,7,0
Colorado+htb2-GFP_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_006.png,7,27,11,13,7,0
Colorado+htb2-GFP_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_007.png,10,32,16,23,10,0
Colorado+htb2-GFP_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_008.png,6,22,11,13,6,0
Colorado+htb2-GFP_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_009.png,13,37,17,22,12,0
Colorado+htb2-GFP_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_010.png,9,32,16,15,10,0
Colorado+htb2-GFP_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_011.png,7,24,12,12,7,0
Colorado+htb2-GFP_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_012.png,10,32,16,15,10,0
Colorado+htb2-GFP_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_013.png,7,24,10,10,7,0
Colorado+htb2-GFP_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_014.png,11,32,15,17,11,0
Colorado+htb2-GFP_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_015.png,6,22,11,8,6,0
Colorado+htb2-GFP_frame_016,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_016.png,12,43,19,22,12,0
Colorado+htb2-GFP_frame_017,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_017.png,8,30,12,14,8,0
Colorado+htb2-GFP_frame_018,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_018.png,11,28,15,16,11,0
Colorado+htb2-GFP_frame_019,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\Colorado+htb2-GFP_frame_019.png,10,28,15,13,10,0
_ess_dense_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_000.png,8,25,12,12,8,0
_ess_dense_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_001.png,5,17,7,10,5,0
_ess_dense_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_002.png,5,19,8,13,5,0
_ess_dense_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_003.png,6,21,12,9,6,0
_ess_dense_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_004.png,5,16,8,7,5,0
_ess_dense_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_005.png,6,16,9,6,6,0
_ess_dense_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_006.png,5,14,6,10,4,0
_ess_dense_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_007.png,7,23,11,9,7,0
_ess_dense_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_008.png,6,20,9,8,5,0
_ess_dense_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_009.png,6,20,11,9,6,0
_ess_dense_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_010.png,7,23,11,9,7,0
_ess_dense_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_011.png,6,21,10,10,6,0
_ess_dense_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_012.png,5,16,8,7,5,0
_ess_dense_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_013.png,8,23,12,9,8,0
_ess_dense_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_014.png,6,24,10,14,7,0
_ess_dense_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_015.png,6,25,12,10,7,0
_ess_dense_frame_016,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_016.png,6,20,9,10,6,0
_ess_dense_frame_017,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_017.png,6,18,8,8,6,0
_ess_dense_frame_018,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_018.png,6,27,11,14,6,0
_ess_dense_frame_019,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_019.png,5,21,8,13,6,0
_ess_dense_frame_020,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\_ess dense_frame_020.png,8,26,11,12,7,0
alphafactor_arrest_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_000.png,6,25,6,24,6,0
alphafactor_arrest_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_001.png,2,14,3,23,2,0
alphafactor_arrest_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_002.png,5,21,6,28,5,0
alphafactor_arrest_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_003.png,5,20,9,19,6,0
alphafactor_arrest_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_004.png,7,27,9,16,7,0
alphafactor_arrest_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_005.png,4,15,7,11,5,0
alphafactor_arrest_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_006.png,4,27,6,21,4,0
alphafactor_arrest_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_007.png,3,16,4,14,3,0
alphafactor_arrest_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_008.png,2,7,2,9,2,0
alphafactor_arrest_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_009.png,6,30,8,23,5,0
alphafactor_arrest_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_010.png,7,29,9,23,6,0
alphafactor_arrest_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_011.png,3,16,4,18,3,0
alphafactor_arrest_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_012.png,5,28,8,18,5,0
alphafactor_arrest_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_013.png,5,20,8,26,5,0
alphafactor_arrest_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_014.png,4,17,6,12,4,0
alphafactor_arrest_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_015.png,4,12,5,23,4,0
alphafactor_arrest_frame_016,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_016.png,6,21,7,16,6,0
alphafactor_arrest_frame_017,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_017.png,4,26,7,26,4,0
alphafactor_arrest_frame_018,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_018.png,8,35,14,17,7,0
alphafactor_arrest_frame_019,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_019.png,4,14,6,17,4,0
alphafactor_arrest_frame_020,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_020.png,4,16,5,18,3,1
alphafactor_arrest_frame_021,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_021.png,3,7,3,17,3,0
alphafactor_arrest_frame_022,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_022.png,6,20,8,16,6,0
alphafactor_arrest_frame_023,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_023.png,8,18,8,20,7,0
alphafactor_arrest_frame_024,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_024.png,5,25,7,25,5,0
alphafactor_arrest_frame_025,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_025.png,2,18,3,17,2,0
alphafactor_arrest_frame_026,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_026.png,7,36,12,24,10,0
alphafactor_arrest_frame_027,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_027.png,1,11,1,21,1,0
alphafactor_arrest_frame_028,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\alphafactor arrest_frame_028.png,2,13,3,24,2,0
training_1_frame_000,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_000.png,3,7,4,4,3,0
training_1_frame_001,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_001.png,5,14,7,7,5,0
training_1_frame_002,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_002.png,3,10,5,4,3,0
training_1_frame_003,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_003.png,5,14,7,7,4,0
training_1_frame_004,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_004.png,4,13,5,8,4,0
training_1_frame_005,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_005.png,3,10,5,5,3,0
training_1_frame_006,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_006.png,4,10,6,4,4,0
training_1_frame_007,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_007.png,4,11,4,7,4,0
training_1_frame_008,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_008.png,4,10,5,5,4,0
training_1_frame_009,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_009.png,5,16,8,8,6,0
training_1_frame_010,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_010.png,4,18,6,7,4,0
training_1_frame_011,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_011.png,6,21,9,8,6,0
training_1_frame_012,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_012.png,4,12,6,6,4,0
training_1_frame_013,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_013.png,5,12,6,3,5,0
training_1_frame_014,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_014.png,8,25,15,8,9,0
training_1_frame_015,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_015.png,5,19,10,8,6,0
training_1_frame_016,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_016.png,3,11,4,6,3,0
training_1_frame_017,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_017.png,8,20,10,9,8,0
training_1_frame_018,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_018.png,4,15,7,6,4,0
training_1_frame_019,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_019.png,4,14,6,5,4,0
training_1_frame_020,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_020.png,8,29,14,11,8,0
training_1_frame_021,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_021.png,3,15,8,6,5,0
training_1_frame_022,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_022.png,4,13,7,5,5,0
training_1_frame_023,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_023.png,6,21,11,6,6,0
training_1_frame_024,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_024.png,4,11,5,5,4,0
training_1_frame_025,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_025.png,6,16,9,6,6,0
training_1_frame_026,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_026.png,5,14,8,5,5,0
training_1_frame_027,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_027.png,4,9,6,3,4,0
training_1_frame_028,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_028.png,6,16,9,6,7,0
training_1_frame_029,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_029.png,3,12,6,5,3,0
training_1_frame_030,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_030.png,6,19,9,8,6,0
training_1_frame_031,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_031.png,5,16,9,7,5,0
training_1_frame_032,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_032.png,2,7,5,2,3,0
training_1_frame_033,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_033.png,4,14,8,4,4,0
training_1_frame_034,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_034.png,3,12,6,4,3,0
training_1_frame_035,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_035.png,5,17,8,9,5,0
training_1_frame_036,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_036.png,4,12,7,2,5,0
training_1_frame_037,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_037.png,3,12,6,5,4,0
training_1_frame_038,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_038.png,5,14,6,7,5,0
training_1_frame_039,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_039.png,3,10,5,5,3,0
training_1_frame_040,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_040.png,2,7,3,5,2,0
training_1_frame_041,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_041.png,2,6,4,2,2,0
training_1_frame_042,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_042.png,5,19,9,7,5,0
training_1_frame_043,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_043.png,3,10,5,4,3,0
training_1_frame_044,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_044.png,4,11,6,4,4,0
training_1_frame_045,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_045.png,3,11,6,5,3,0
training_1_frame_046,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_046.png,5,13,8,5,5,0
training_1_frame_047,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_047.png,4,9,6,3,4,0
training_1_frame_048,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_048.png,4,8,6,2,4,0
training_1_frame_049,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_049.png,4,14,6,5,4,0
training_1_frame_050,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_050.png,4,7,5,2,4,0
training_1_frame_051,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_051.png,4,11,6,5,4,0
training_1_frame_052,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_052.png,4,9,5,3,4,0
training_1_frame_053,v6_ml_detection\sam_masks\prompted_mobile_sam_from_source_tifs\instances\training_1_frame_053.png,5,16,8,5,5,0
