image_id,match_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual
Colorado+htb2-GFP_frame_009,same_class_iou_match,rule_92,manual_122,early_bud_pair,early_bud_pair,0.5541,"86.00,137.00,131.00,198.00","87.00,157.00,126.00,196.00",2745.00,1521.00,1.8047
Colorado+htb2-GFP_frame_002,same_class_iou_match,rule_76,manual_119,mother_bud_pair,mother_bud_pair,0.6295,"175.00,0.00,233.00,53.00","185.00,4.00,228.00,49.00",3074.00,1935.00,1.5886
Colorado+htb2-GFP_frame_013,same_class_iou_match,rule_107,manual_94,early_bud_pair,early_bud_pair,0.8298,"154.00,4.00,197.00,51.00","154.00,6.00,197.00,45.00",2021.00,1677.00,1.2051
Colorado+htb2-GFP_frame_013,same_class_iou_match,rule_102,manual_102,mother_bud_pair,mother_bud_pair,0.7719,"57.00,99.00,128.00,150.00","62.00,105.00,127.00,148.00",3621.00,2795.00,1.2955
Colorado+htb2-GFP_frame_013,same_class_iou_match,rule_104,manual_103,early_bud_pair,early_bud_pair,0.7083,"45.00,151.00,93.00,201.00","40.00,155.00,90.00,196.00",2400.00,2050.00,1.1707
Colorado+htb2-GFP_frame_011,same_class_iou_match,rule_95,manual_143,mother_bud_pair,mother_bud_pair,0.7876,"104.00,65.00,152.00,132.00","109.00,64.00,154.00,127.00",3216.00,2835.00,1.1344
Colorado+htb2-GFP_frame_011,same_class_iou_match,rule_98,manual_147,mother_bud_pair,mother_bud_pair,0.5000,"65.00,69.00,110.00,147.00","69.00,94.00,108.00,139.00",3510.00,1755.00,2.0000
_ess_dense_frame_013,same_class_iou_match,rule_123,manual_150,early_bud_pair,early_bud_pair,0.7727,"128.00,44.00,166.00,88.00","131.00,47.00,165.00,85.00",1672.00,1292.00,1.2941
_ess_dense_frame_013,same_class_iou_match,rule_124,manual_154,early_bud_pair,early_bud_pair,0.6811,"32.00,144.00,84.00,188.00","39.00,141.00,79.00,185.00",2288.00,1760.00,1.3000
_ess_dense_frame_013,same_class_iou_match,rule_125,manual_149,early_bud_pair,early_bud_pair,0.6479,"191.00,86.00,242.00,132.00","196.00,89.00,234.00,129.00",2346.00,1520.00,1.5434
_ess_dense_frame_013,same_class_iou_match,rule_119,manual_152,mother_bud_pair,mother_bud_pair,0.6042,"65.00,26.00,119.00,88.00","52.00,27.00,115.00,75.00",3348.00,3024.00,1.1071
_ess_dense_frame_018,same_class_iou_match,rule_129,manual_168,mother_bud_pair,mother_bud_pair,0.9016,"138.00,120.00,178.00,181.00","138.00,120.00,178.00,175.00",2440.00,2200.00,1.1091
_ess_dense_frame_018,same_class_iou_match,rule_132,manual_163,early_bud_pair,early_bud_pair,0.8133,"153.00,106.00,199.00,161.00","157.00,110.00,198.00,162.00",2530.00,2132.00,1.1867
_ess_dense_frame_011,same_class_iou_match,rule_114,manual_180,mother_bud_pair,mother_bud_pair,0.7728,"178.00,69.00,242.00,117.00","178.00,77.00,241.00,120.00",3072.00,2709.00,1.1340
_ess_dense_frame_011,same_class_iou_match,rule_115,manual_173,mother_bud_pair,mother_bud_pair,0.7216,"68.00,114.00,122.00,174.00","73.00,109.00,115.00,175.00",3240.00,2772.00,1.1688
_ess_dense_frame_011,same_class_iou_match,rule_118,manual_178,early_bud_pair,early_bud_pair,0.6361,"131.00,129.00,190.00,182.00","137.00,131.00,188.00,170.00",3127.00,1989.00,1.5721
_ess_dense_frame_011,same_class_iou_match,rule_117,manual_175,early_bud_pair,early_bud_pair,0.5330,"177.00,25.00,226.00,76.00","182.00,33.00,219.00,69.00",2499.00,1332.00,1.8761
_ess_dense_frame_008,same_class_iou_match,rule_110,manual_184,mother_bud_pair,mother_bud_pair,0.6437,"81.00,0.00,139.00,29.00","80.00,2.00,144.00,22.00",1682.00,1280.00,1.3141
_ess_dense_frame_008,same_class_iou_match,rule_112,manual_183,early_bud_pair,early_bud_pair,0.5157,"94.00,14.00,143.00,49.00","105.00,23.00,146.00,52.00",1715.00,1189.00,1.4424
alphafactor_arrest_frame_000,same_class_iou_match,rule_133,manual_203,early_bud_pair,early_bud_pair,0.6724,"85.00,166.00,144.00,215.00","86.00,167.00,140.00,203.00",2891.00,1944.00,1.4871
alphafactor_arrest_frame_014,same_class_iou_match,rule_146,manual_193,early_bud_pair,early_bud_pair,0.7485,"30.00,137.00,78.00,185.00","25.00,139.00,72.00,186.00",2304.00,2209.00,1.0430
training_1_frame_028,same_class_iou_match,rule_189,manual_213,single_cell,single_cell,0.7266,"68.00,104.00,104.00,136.00","73.00,108.00,104.00,135.00",1152.00,837.00,1.3763
training_1_frame_028,same_class_iou_match,rule_184,manual_210,mother_bud_pair,mother_bud_pair,0.6921,"154.00,60.00,225.00,114.00","157.00,67.00,221.00,122.00",3834.00,3520.00,1.0892
training_1_frame_028,same_class_iou_match,rule_186,manual_209,early_bud_pair,early_bud_pair,0.6396,"139.00,19.00,178.00,74.00","137.00,25.00,179.00,62.00",2145.00,1554.00,1.3803
training_1_frame_023,same_class_iou_match,rule_180,manual_222,mother_bud_pair,mother_bud_pair,0.6503,"119.00,4.00,166.00,59.00","123.00,8.00,164.00,49.00",2585.00,1681.00,1.5378
training_1_frame_023,same_class_iou_match,rule_181,manual_223,mother_bud_pair,mother_bud_pair,0.6042,"117.00,27.00,186.00,89.00","120.00,47.00,187.00,93.00",4278.00,3082.00,1.3881
training_1_frame_055,same_class_iou_match,rule_212,manual_229,single_cell,single_cell,0.5624,"46.00,97.00,87.00,131.00","51.00,101.00,79.00,129.00",1394.00,784.00,1.7781
training_1_frame_055,same_class_iou_match,rule_211,manual_224,early_bud_pair,early_bud_pair,0.5325,"88.00,60.00,134.00,93.00","90.00,53.00,128.00,85.00",1518.00,1216.00,1.2484
training_1_frame_038,same_class_iou_match,rule_198,manual_238,early_bud_pair,early_bud_pair,0.7763,"126.00,119.00,168.00,187.00","133.00,118.00,168.00,192.00",2856.00,2590.00,1.1027
training_1_frame_038,same_class_iou_match,rule_195,manual_235,early_bud_pair,early_bud_pair,0.6200,"41.00,32.00,95.00,105.00","45.00,35.00,92.00,87.00",3942.00,2444.00,1.6129
training_1_frame_022,same_class_iou_match,rule_174,manual_242,early_bud_pair,early_bud_pair,0.7161,"102.00,27.00,165.00,71.00","99.00,23.00,158.00,67.00",2772.00,2596.00,1.0678
training_1_frame_022,same_class_iou_match,rule_175,manual_243,early_bud_pair,early_bud_pair,0.6511,"150.00,2.00,188.00,56.00","157.00,6.00,191.00,52.00",2052.00,1564.00,1.3120
training_1_frame_022,same_class_iou_match,rule_176,manual_239,early_bud_pair,early_bud_pair,0.5936,"43.00,103.00,89.00,143.00","52.00,112.00,90.00,142.00",1840.00,1140.00,1.6140
training_1_frame_022,same_class_iou_match,rule_173,manual_244,mother_bud_pair,mother_bud_pair,0.5335,"25.00,78.00,90.00,128.00","28.00,88.00,79.00,122.00",3250.00,1734.00,1.8743
training_1_frame_060,same_class_iou_match,rule_214,manual_245,mother_bud_pair,mother_bud_pair,0.6800,"44.00,51.00,83.00,103.00","31.00,51.00,80.00,104.00",2028.00,2597.00,0.7809
training_1_frame_033,same_class_iou_match,rule_193,manual_254,mother_bud_pair,mother_bud_pair,0.8029,"50.00,93.00,104.00,152.00","47.00,87.00,101.00,151.00",3186.00,3456.00,0.9219
training_1_frame_012,same_class_iou_match,rule_168,manual_261,early_bud_pair,early_bud_pair,0.8705,"196.00,155.00,239.00,197.00","198.00,154.00,241.00,196.00",1806.00,1806.00,1.0000
training_1_frame_004,same_class_iou_match,rule_162,manual_268,early_bud_pair,early_bud_pair,0.6949,"102.00,13.00,144.00,59.00","98.00,18.00,142.00,65.00",1932.00,2068.00,0.9342
training_2_frame_020,same_class_iou_match,rule_238,manual_288,early_bud_pair,early_bud_pair,0.7200,"146.00,61.00,189.00,105.00","147.00,63.00,180.00,106.00",1892.00,1419.00,1.3333
training_2_frame_020,same_class_iou_match,rule_239,manual_286,early_bud_pair,early_bud_pair,0.6824,"60.00,136.00,109.00,186.00","63.00,148.00,107.00,186.00",2450.00,1672.00,1.4653
training_2_frame_020,same_class_iou_match,rule_236,manual_296,mother_bud_pair,mother_bud_pair,0.5385,"172.00,63.00,217.00,139.00","170.00,91.00,214.00,136.00",3420.00,1980.00,1.7273
training_2_frame_065,same_class_iou_match,rule_271,manual_298,mother_bud_pair,mother_bud_pair,0.6688,"67.00,124.00,130.00,173.00","61.00,134.00,130.00,169.00",3087.00,2415.00,1.2783
training_2_frame_065,same_class_iou_match,rule_272,manual_297,mother_bud_pair,mother_bud_pair,0.6486,"73.00,81.00,117.00,140.00","63.00,79.00,116.00,129.00",2596.00,2650.00,0.9796
training_2_frame_083,same_class_iou_match,rule_292,manual_306,early_bud_pair,early_bud_pair,0.8930,"209.00,121.00,255.00,161.00","211.00,120.00,254.00,162.00",1840.00,1806.00,1.0188
training_2_frame_083,same_class_iou_match,rule_289,manual_304,mother_bud_pair,mother_bud_pair,0.8466,"9.00,46.00,67.00,93.00","8.00,43.00,67.00,89.00",2726.00,2714.00,1.0044
training_2_frame_083,same_class_iou_match,rule_291,manual_305,early_bud_pair,early_bud_pair,0.7149,"183.00,46.00,240.00,88.00","175.00,42.00,240.00,83.00",2394.00,2665.00,0.8983
training_2_frame_083,same_class_iou_match,rule_290,manual_309,mother_bud_pair,mother_bud_pair,0.6729,"163.00,103.00,206.00,163.00","159.00,112.00,202.00,167.00",2580.00,2365.00,1.0909
training_2_frame_041,same_class_iou_match,rule_256,manual_314,single_cell,single_cell,0.6672,"34.00,170.00,71.00,208.00","32.00,175.00,69.00,215.00",1406.00,1480.00,0.9500
training_2_frame_008,same_class_iou_match,rule_224,manual_316,mother_bud_pair,mother_bud_pair,0.7297,"152.00,121.00,222.00,167.00","151.00,131.00,218.00,167.00",3220.00,2412.00,1.3350
training_2_frame_008,same_class_iou_match,rule_222,manual_317,mother_bud_pair,mother_bud_pair,0.6781,"8.00,14.00,70.00,67.00","6.00,15.00,60.00,59.00",3286.00,2376.00,1.3830
training_2_frame_099,same_class_iou_match,rule_299,manual_323,early_bud_pair,early_bud_pair,0.8079,"58.00,108.00,102.00,170.00","60.00,109.00,98.00,167.00",2728.00,2204.00,1.2377
training_2_frame_099,same_class_iou_match,rule_297,manual_325,mother_bud_pair,mother_bud_pair,0.7178,"122.00,43.00,179.00,94.00","106.00,41.00,181.00,95.00",2907.00,4050.00,0.7178
training_2_frame_090,same_class_iou_match,rule_293,manual_327,mother_bud_pair,mother_bud_pair,0.6964,"175.00,7.00,225.00,62.00","157.00,8.00,223.00,62.00",2750.00,3564.00,0.7716
training_2_frame_090,same_class_iou_match,rule_296,manual_326,mother_bud_pair,mother_bud_pair,0.6788,"35.00,69.00,81.00,125.00","31.00,62.00,86.00,131.00",2576.00,3795.00,0.6788
training_2_frame_079,same_class_iou_match,rule_286,manual_332,early_bud_pair,early_bud_pair,0.9587,"153.00,97.00,212.00,136.00","153.00,96.00,213.00,136.00",2301.00,2400.00,0.9587
training_2_frame_079,same_class_iou_match,rule_285,manual_331,mother_bud_pair,mother_bud_pair,0.8149,"50.00,194.00,110.00,247.00","46.00,199.00,112.00,248.00",3180.00,3234.00,0.9833
training_2_frame_079,same_class_iou_match,rule_284,manual_333,mother_bud_pair,mother_bud_pair,0.7337,"100.00,34.00,148.00,85.00","99.00,28.00,147.00,95.00",2448.00,3216.00,0.7612
training_2_frame_068,same_class_iou_match,rule_280,manual_334,mother_bud_pair,mother_bud_pair,0.8184,"53.00,58.00,110.00,115.00","56.00,58.00,111.00,108.00",3249.00,2750.00,1.1815
training_2_frame_068,same_class_iou_match,rule_278,manual_336,mother_bud_pair,mother_bud_pair,0.7314,"97.00,131.00,159.00,170.00","106.00,128.00,161.00,173.00",2418.00,2475.00,0.9770
training_2_frame_068,same_class_iou_match,rule_279,manual_335,mother_bud_pair,mother_bud_pair,0.6770,"205.00,180.00,255.00,233.00","210.00,182.00,249.00,228.00",2650.00,1794.00,1.4771
training_2_frame_058,same_class_iou_match,rule_266,manual_339,early_bud_pair,early_bud_pair,0.8629,"74.00,34.00,116.00,90.00","78.00,31.00,116.00,90.00",2352.00,2242.00,1.0491
training_2_frame_058,same_class_iou_match,rule_264,manual_341,mother_bud_pair,mother_bud_pair,0.7622,"140.00,74.00,187.00,133.00","134.00,75.00,183.00,130.00",2773.00,2695.00,1.0289
training_2_frame_058,same_class_iou_match,rule_265,manual_340,mother_bud_pair,mother_bud_pair,0.6380,"167.00,85.00,236.00,132.00","179.00,92.00,240.00,130.00",3243.00,2318.00,1.3991
training_2_frame_028,same_class_iou_match,rule_243,manual_348,mother_bud_pair,mother_bud_pair,0.8125,"63.00,69.00,113.00,121.00","60.00,71.00,111.00,125.00",2600.00,2754.00,0.9441
training_2_frame_028,same_class_iou_match,rule_245,manual_350,early_bud_pair,early_bud_pair,0.7565,"109.00,124.00,166.00,165.00","109.00,130.00,161.00,164.00",2337.00,1768.00,1.3218
training_2_frame_028,same_class_iou_match,rule_244,manual_351,early_bud_pair,early_bud_pair,0.6486,"117.00,0.00,160.00,38.00","118.00,2.00,165.00,49.00",1634.00,2209.00,0.7397
training_2_frame_001,same_class_iou_match,rule_219,manual_360,early_bud_pair,early_bud_pair,0.5861,"87.00,73.00,129.00,125.00","89.00,76.00,121.00,116.00",2184.00,1280.00,1.7063
training_2_frame_001,same_class_iou_match,rule_218,manual_363,mother_bud_pair,mother_bud_pair,0.5586,"124.00,131.00,191.00,190.00","138.00,139.00,186.00,185.00",3953.00,2208.00,1.7903
training_2_frame_102,same_class_iou_match,rule_303,manual_364,early_bud_pair,early_bud_pair,0.9583,"81.00,83.00,129.00,130.00","82.00,84.00,129.00,130.00",2256.00,2162.00,1.0435
training_2_frame_077,same_class_iou_match,rule_282,manual_369,mother_bud_pair,mother_bud_pair,0.8489,"24.00,91.00,64.00,152.00","21.00,93.00,66.00,153.00",2440.00,2700.00,0.9037
training_2_frame_077,same_class_iou_match,rule_281,manual_370,mother_bud_pair,mother_bud_pair,0.8457,"150.00,62.00,204.00,114.00","151.00,59.00,206.00,111.00",2808.00,2860.00,0.9818
training_2_frame_077,same_class_iou_match,rule_283,manual_371,mother_bud_pair,mother_bud_pair,0.6774,"140.00,150.00,202.00,188.00","135.00,144.00,209.00,191.00",2356.00,3478.00,0.6774
training_2_frame_061,same_class_iou_match,rule_269,manual_372,mother_bud_pair,mother_bud_pair,0.7933,"106.00,107.00,170.00,146.00","108.00,108.00,163.00,144.00",2496.00,1980.00,1.2606
training_2_frame_023,same_class_iou_match,rule_242,manual_384,early_bud_pair,early_bud_pair,0.8237,"98.00,25.00,139.00,77.00","100.00,29.00,140.00,75.00",2132.00,1840.00,1.1587
training_2_frame_023,same_class_iou_match,rule_241,manual_385,early_bud_pair,early_bud_pair,0.7538,"48.00,110.00,106.00,150.00","49.00,111.00,111.00,157.00",2320.00,2852.00,0.8135
training_2_frame_023,same_class_iou_match,rule_240,manual_386,early_bud_pair,early_bud_pair,0.6416,"176.00,119.00,225.00,171.00","178.00,123.00,240.00,175.00",2548.00,3224.00,0.7903
training_2_frame_010,same_class_iou_match,rule_226,manual_387,mother_bud_pair,mother_bud_pair,0.6183,"96.00,40.00,137.00,120.00","96.00,40.00,139.00,91.00",3280.00,2193.00,1.4957
training_2_frame_107,same_class_iou_match,rule_304,manual_392,mother_bud_pair,mother_bud_pair,0.8105,"82.00,186.00,140.00,229.00","86.00,180.00,139.00,229.00",2494.00,2597.00,0.9603
