image_id,match_type,rule_id,manual_id,rule_class,manual_class,iou,rule_box,manual_box,rule_area_px2,manual_area_px2,area_ratio_rule_over_manual
60min_after_washout_frame_003,same_class_iou_match,rule_25,manual_39,mother_bud_pair,mother_bud_pair,0.6305,"103.00,41.00,174.00,79.00","105.00,43.00,168.00,70.00",2698.00,1701.00,1.5861
60min_after_washout_frame_012,same_class_iou_match,rule_43,manual_47,early_bud_pair,early_bud_pair,0.7588,"214.00,54.00,255.00,110.00","218.00,53.00,252.00,106.00",2296.00,1802.00,1.2741
60min_after_washout_frame_012,same_class_iou_match,rule_40,manual_50,mother_bud_pair,mother_bud_pair,0.5385,"136.00,92.00,200.00,157.00","135.00,90.00,215.00,134.00",4160.00,3520.00,1.1818
60min_after_washout_frame_000,same_class_iou_match,rule_20,manual_52,mother_bud_pair,mother_bud_pair,0.8781,"69.00,124.00,145.00,174.00","67.00,127.00,147.00,175.00",3800.00,3840.00,0.9896
85min_after_washout_frame_005,same_class_iou_match,rule_44,manual_60,mother_bud_pair,mother_bud_pair,0.9359,"136.00,48.00,225.00,136.00","137.00,44.00,224.00,136.00",7832.00,8004.00,0.9785
85min_after_washout_frame_022,same_class_iou_match,rule_63,manual_64,mother_bud_pair,mother_bud_pair,0.5632,"109.00,84.00,197.00,161.00","105.00,82.00,201.00,131.00",6776.00,4704.00,1.4405
85min_after_washout_frame_015,same_class_iou_match,rule_61,manual_71,early_bud_pair,early_bud_pair,0.8874,"105.00,144.00,166.00,193.00","101.00,142.00,165.00,193.00",2989.00,3264.00,0.9157
85min_after_washout_frame_015,same_class_iou_match,rule_60,manual_70,mother_bud_pair,mother_bud_pair,0.8403,"77.00,104.00,131.00,188.00","71.00,99.00,131.00,187.00",4536.00,5280.00,0.8591
85min_after_washout_frame_015,same_class_iou_match,rule_58,manual_74,mother_bud_pair,mother_bud_pair,0.7658,"154.00,1.00,213.00,92.00","142.00,2.00,211.00,88.00",5369.00,5934.00,0.9048
85min_after_washout_frame_015,same_class_iou_match,rule_59,manual_69,mother_bud_pair,mother_bud_pair,0.7484,"66.00,27.00,156.00,75.00","57.00,24.00,168.00,76.00",4320.00,5772.00,0.7484
85min_after_washout_frame_013,same_class_iou_match,rule_53,manual_76,mother_bud_pair,mother_bud_pair,0.7512,"106.00,125.00,202.00,174.00","108.00,128.00,220.00,176.00",4704.00,5376.00,0.8750
Colorado+htb2-GFP_frame_016,same_class_iou_match,rule_97,manual_83,mother_bud_pair,mother_bud_pair,0.9024,"192.00,49.00,247.00,108.00","189.00,48.00,247.00,106.00",3245.00,3364.00,0.9646
Colorado+htb2-GFP_frame_016,same_class_iou_match,rule_101,manual_90,mother_bud_pair,mother_bud_pair,0.8885,"69.00,154.00,111.00,221.00","71.00,156.00,110.00,222.00",2814.00,2574.00,1.0932
Colorado+htb2-GFP_frame_016,same_class_iou_match,rule_104,manual_91,early_bud_pair,early_bud_pair,0.5492,"99.00,164.00,148.00,224.00","117.00,166.00,150.00,220.00",2940.00,1782.00,1.6498
Colorado+htb2-GFP_frame_012,same_class_iou_match,rule_94,manual_102,early_bud_pair,early_bud_pair,0.9046,"63.00,218.00,121.00,255.00","63.00,220.00,122.00,254.00",2146.00,2006.00,1.0698
Colorado+htb2-GFP_frame_012,same_class_iou_match,rule_87,manual_100,mother_bud_pair,mother_bud_pair,0.7517,"136.00,55.00,193.00,104.00","128.00,58.00,192.00,100.00",2793.00,2688.00,1.0391
Colorado+htb2-GFP_frame_012,same_class_iou_match,rule_90,manual_98,mother_bud_pair,mother_bud_pair,0.6403,"104.00,30.00,165.00,83.00","103.00,22.00,161.00,72.00",3233.00,2900.00,1.1148
Colorado+htb2-GFP_frame_001,same_class_iou_match,rule_69,manual_121,mother_bud_pair,mother_bud_pair,0.9383,"125.00,28.00,167.00,102.00","124.00,27.00,167.00,100.00",3108.00,3139.00,0.9901
Colorado+htb2-GFP_frame_001,same_class_iou_match,rule_71,manual_122,mother_bud_pair,mother_bud_pair,0.8391,"1.00,128.00,72.00,181.00","1.00,123.00,68.00,183.00",3763.00,4020.00,0.9361
Colorado+htb2-GFP_frame_001,same_class_iou_match,rule_77,manual_115,early_bud_pair,early_bud_pair,0.8057,"22.00,98.00,74.00,135.00","18.00,100.00,72.00,137.00",1924.00,1998.00,0.9630
Colorado+htb2-GFP_frame_001,same_class_iou_match,rule_75,manual_111,early_bud_pair,early_bud_pair,0.7649,"154.00,180.00,205.00,243.00","159.00,177.00,200.00,244.00",3213.00,2747.00,1.1696
Colorado+htb2-GFP_frame_001,same_class_iou_match,rule_76,manual_112,early_bud_pair,early_bud_pair,0.7462,"37.00,11.00,97.00,63.00","27.00,12.00,94.00,59.00",3120.00,3149.00,0.9908
Colorado+htb2-GFP_frame_006,same_class_iou_match,rule_80,manual_135,mother_bud_pair,mother_bud_pair,0.9127,"103.00,122.00,174.00,161.00","101.00,120.00,173.00,161.00",2769.00,2952.00,0.9380
Colorado+htb2-GFP_frame_006,same_class_iou_match,rule_83,manual_128,early_bud_pair,early_bud_pair,0.8748,"103.00,151.00,164.00,204.00","100.00,149.00,161.00,204.00",3233.00,3355.00,0.9636
Colorado+htb2-GFP_frame_006,same_class_iou_match,rule_79,manual_130,mother_bud_pair,mother_bud_pair,0.6923,"37.00,13.00,100.00,71.00","35.00,26.00,102.00,68.00",3654.00,2814.00,1.2985
_ess_dense_frame_000,same_class_iou_match,rule_110,manual_138,mother_bud_pair,mother_bud_pair,0.8163,"128.00,110.00,172.00,170.00","127.00,104.00,170.00,173.00",2640.00,2967.00,0.8898
_ess_dense_frame_000,same_class_iou_match,rule_112,manual_140,early_bud_pair,early_bud_pair,0.8163,"173.00,121.00,214.00,162.00","172.00,117.00,213.00,165.00",1681.00,1968.00,0.8542
_ess_dense_frame_000,same_class_iou_match,rule_113,manual_141,early_bud_pair,early_bud_pair,0.8106,"161.00,218.00,212.00,255.00","158.00,213.00,212.00,254.00",1887.00,2214.00,0.8523
_ess_dense_frame_000,same_class_iou_match,rule_108,manual_139,mother_bud_pair,mother_bud_pair,0.7079,"178.00,66.00,231.00,134.00","184.00,61.00,230.00,125.00",3604.00,2944.00,1.2242
_ess_dense_frame_000,same_class_iou_match,rule_109,manual_137,mother_bud_pair,mother_bud_pair,0.6141,"47.00,139.00,105.00,176.00","49.00,132.00,115.00,182.00",2146.00,3300.00,0.6503
_ess_dense_frame_017,same_class_iou_match,rule_131,manual_146,early_bud_pair,early_bud_pair,0.7664,"97.00,68.00,161.00,118.00","90.00,62.00,160.00,120.00",3200.00,4060.00,0.7882
_ess_dense_frame_017,same_class_iou_match,rule_127,manual_142,mother_bud_pair,mother_bud_pair,0.5089,"152.00,99.00,218.00,167.00","157.00,122.00,231.00,164.00",4488.00,3108.00,1.4440
_ess_dense_frame_004,same_class_iou_match,rule_116,manual_157,mother_bud_pair,mother_bud_pair,0.7887,"125.00,95.00,182.00,149.00","121.00,87.00,181.00,150.00",3078.00,3780.00,0.8143
_ess_dense_frame_004,same_class_iou_match,rule_119,manual_155,early_bud_pair,early_bud_pair,0.7601,"48.00,50.00,92.00,103.00","51.00,49.00,87.00,100.00",2332.00,1836.00,1.2702
_ess_dense_frame_004,same_class_iou_match,rule_118,manual_156,mother_bud_pair,mother_bud_pair,0.5747,"78.00,84.00,133.00,126.00","59.00,82.00,128.00,120.00",2310.00,2622.00,0.8810
alphafactor_arrest_frame_023,same_class_iou_match,rule_159,manual_171,single_cell,single_cell,0.8351,"50.00,211.00,91.00,255.00","48.00,209.00,94.00,254.00",1804.00,2070.00,0.8715
alphafactor_arrest_frame_023,same_class_iou_match,rule_158,manual_170,single_cell,single_cell,0.6293,"79.00,198.00,114.00,238.00","79.00,191.00,120.00,232.00",1400.00,1681.00,0.8328
training_1_frame_030,same_class_iou_match,rule_186,manual_216,early_bud_pair,early_bud_pair,0.7536,"74.00,155.00,120.00,201.00","72.00,150.00,124.00,204.00",2116.00,2808.00,0.7536
training_1_frame_030,same_class_iou_match,rule_183,manual_217,mother_bud_pair,mother_bud_pair,0.6805,"58.00,165.00,116.00,225.00","52.00,173.00,127.00,224.00",3480.00,3825.00,0.9098
training_1_frame_030,same_class_iou_match,rule_187,manual_213,early_bud_pair,early_bud_pair,0.6735,"128.00,41.00,163.00,95.00","124.00,43.00,156.00,97.00",1890.00,1728.00,1.0938
training_1_frame_025,same_class_iou_match,rule_176,manual_218,single_cell,single_cell,0.8692,"92.00,70.00,127.00,104.00","90.00,68.00,126.00,104.00",1190.00,1296.00,0.9182
training_1_frame_025,same_class_iou_match,rule_177,manual_219,single_cell,single_cell,0.6593,"105.00,90.00,142.00,128.00","97.00,87.00,141.00,123.00",1406.00,1584.00,0.8876
training_1_frame_042,same_class_iou_match,rule_196,manual_231,mother_bud_pair,mother_bud_pair,0.8279,"15.00,117.00,65.00,179.00","17.00,111.00,62.00,179.00",3100.00,3060.00,1.0131
training_1_frame_042,same_class_iou_match,rule_198,manual_232,mother_bud_pair,mother_bud_pair,0.8212,"35.00,51.00,80.00,112.00","36.00,49.00,76.00,109.00",2745.00,2400.00,1.1438
training_1_frame_026,same_class_iou_match,rule_179,manual_234,mother_bud_pair,mother_bud_pair,0.8075,"148.00,63.00,199.00,117.00","153.00,62.00,199.00,123.00",2754.00,2806.00,0.9815
training_1_frame_026,same_class_iou_match,rule_180,manual_236,mother_bud_pair,mother_bud_pair,0.7985,"100.00,34.00,168.00,97.00","97.00,40.00,175.00,97.00",4284.00,4446.00,0.9636
training_1_frame_026,same_class_iou_match,rule_178,manual_233,mother_bud_pair,mother_bud_pair,0.7670,"117.00,84.00,163.00,146.00","113.00,80.00,160.00,150.00",2852.00,3290.00,0.8669
training_1_frame_026,same_class_iou_match,rule_181,manual_235,early_bud_pair,early_bud_pair,0.7663,"109.00,18.00,166.00,60.00","106.00,15.00,171.00,57.00",2394.00,2730.00,0.8769
training_1_frame_064,same_class_iou_match,rule_216,manual_238,early_bud_pair,early_bud_pair,0.8690,"156.00,58.00,213.00,104.00","150.00,58.00,213.00,102.00",2622.00,2772.00,0.9459
training_1_frame_064,same_class_iou_match,rule_215,manual_237,mother_bud_pair,mother_bud_pair,0.8374,"13.00,79.00,75.00,130.00","11.00,75.00,75.00,134.00",3162.00,3776.00,0.8374
training_1_frame_064,same_class_iou_match,rule_214,manual_239,mother_bud_pair,mother_bud_pair,0.8046,"102.00,162.00,166.00,210.00","108.00,162.00,169.00,214.00",3072.00,3172.00,0.9685
training_1_frame_064,same_class_iou_match,rule_213,manual_240,mother_bud_pair,mother_bud_pair,0.7914,"83.00,158.00,131.00,221.00","77.00,156.00,129.00,224.00",3024.00,3536.00,0.8552
training_1_frame_050,same_class_iou_match,rule_201,manual_242,mother_bud_pair,mother_bud_pair,0.7635,"79.00,73.00,142.00,122.00","79.00,64.00,146.00,120.00",3087.00,3752.00,0.8228
training_1_frame_037,same_class_iou_match,rule_194,manual_244,early_bud_pair,early_bud_pair,0.7382,"68.00,54.00,110.00,114.00","59.00,48.00,110.00,113.00",2520.00,3315.00,0.7602
training_1_frame_018,same_class_iou_match,rule_170,manual_251,mother_bud_pair,mother_bud_pair,0.8164,"83.00,97.00,143.00,155.00","89.00,99.00,145.00,157.00",3480.00,3248.00,1.0714
training_1_frame_006,same_class_iou_match,rule_164,manual_258,mother_bud_pair,mother_bud_pair,0.8060,"29.00,64.00,100.00,108.00","27.00,60.00,103.00,111.00",3124.00,3876.00,0.8060
training_1_frame_006,same_class_iou_match,rule_167,manual_254,early_bud_pair,early_bud_pair,0.6539,"82.00,167.00,133.00,209.00","74.00,174.00,131.00,206.00",2142.00,1824.00,1.1743
training_1_frame_058,same_class_iou_match,rule_211,manual_260,mother_bud_pair,mother_bud_pair,0.7181,"96.00,40.00,145.00,95.00","97.00,25.00,143.00,98.00",2695.00,3358.00,0.8026
training_1_frame_058,same_class_iou_match,rule_212,manual_261,early_bud_pair,early_bud_pair,0.6793,"129.00,44.00,173.00,88.00","121.00,41.00,178.00,91.00",1936.00,2850.00,0.6793
training_1_frame_058,same_class_iou_match,rule_210,manual_259,mother_bud_pair,mother_bud_pair,0.6095,"47.00,106.00,95.00,170.00","39.00,100.00,102.00,180.00",3072.00,5040.00,0.6095
training_1_frame_034,same_class_iou_match,rule_189,manual_262,mother_bud_pair,mother_bud_pair,0.7471,"113.00,89.00,174.00,138.00","104.00,85.00,174.00,134.00",2989.00,3430.00,0.8714
training_2_frame_106,same_class_iou_match,rule_292,manual_266,early_bud_pair,early_bud_pair,0.8230,"73.00,14.00,112.00,73.00","72.00,10.00,115.00,71.00",2301.00,2623.00,0.8772
training_2_frame_106,same_class_iou_match,rule_290,manual_267,early_bud_pair,early_bud_pair,0.7469,"115.00,38.00,170.00,79.00","116.00,30.00,167.00,77.00",2255.00,2397.00,0.9408
training_2_frame_106,same_class_iou_match,rule_288,manual_268,mother_bud_pair,mother_bud_pair,0.7466,"83.00,139.00,145.00,194.00","73.00,140.00,147.00,188.00",3410.00,3552.00,0.9600
training_2_frame_106,same_class_iou_match,rule_289,manual_269,mother_bud_pair,mother_bud_pair,0.6908,"30.00,184.00,84.00,242.00","22.00,182.00,77.00,238.00",3132.00,3080.00,1.0169
training_2_frame_085,same_class_iou_match,rule_275,manual_276,early_bud_pair,early_bud_pair,0.8736,"37.00,108.00,97.00,149.00","35.00,106.00,95.00,150.00",2460.00,2640.00,0.9318
training_2_frame_085,same_class_iou_match,rule_271,manual_273,mother_bud_pair,mother_bud_pair,0.7366,"196.00,32.00,250.00,87.00","187.00,27.00,251.00,90.00",2970.00,4032.00,0.7366
training_2_frame_085,same_class_iou_match,rule_272,manual_274,mother_bud_pair,mother_bud_pair,0.7292,"204.00,181.00,247.00,240.00","200.00,176.00,249.00,247.00",2537.00,3479.00,0.7292
training_2_frame_085,same_class_iou_match,rule_273,manual_275,mother_bud_pair,mother_bud_pair,0.6193,"24.00,10.00,75.00,69.00","19.00,11.00,82.00,86.00",3009.00,4725.00,0.6368
training_2_frame_057,same_class_iou_match,rule_259,manual_281,single_cell,single_cell,0.7214,"101.00,46.00,139.00,86.00","100.00,41.00,143.00,90.00",1520.00,2107.00,0.7214
training_2_frame_018,same_class_iou_match,rule_228,manual_288,single_cell,single_cell,0.8190,"104.00,109.00,146.00,156.00","101.00,108.00,144.00,153.00",1974.00,1935.00,1.0202
training_2_frame_018,same_class_iou_match,rule_227,manual_286,mother_bud_pair,mother_bud_pair,0.7650,"139.00,132.00,202.00,193.00","136.00,139.00,206.00,190.00",3843.00,3570.00,1.0765
training_2_frame_018,same_class_iou_match,rule_230,manual_287,single_cell,single_cell,0.6175,"73.00,125.00,117.00,167.00","66.00,120.00,112.00,162.00",1848.00,1932.00,0.9565
training_2_frame_108,same_class_iou_match,rule_295,manual_290,mother_bud_pair,mother_bud_pair,0.7045,"123.00,59.00,167.00,118.00","120.00,55.00,175.00,122.00",2596.00,3685.00,0.7045
training_2_frame_096,same_class_iou_match,rule_285,manual_297,mother_bud_pair,mother_bud_pair,0.8564,"139.00,84.00,199.00,124.00","138.00,81.00,198.00,122.00",2400.00,2460.00,0.9756
training_2_frame_088,same_class_iou_match,rule_277,manual_298,mother_bud_pair,mother_bud_pair,0.8720,"100.00,46.00,144.00,104.00","96.00,44.00,144.00,103.00",2552.00,2832.00,0.9011
training_2_frame_088,same_class_iou_match,rule_278,manual_299,mother_bud_pair,mother_bud_pair,0.7459,"136.00,46.00,192.00,88.00","132.00,39.00,192.00,85.00",2352.00,2760.00,0.8522
training_2_frame_075,same_class_iou_match,rule_267,manual_301,mother_bud_pair,mother_bud_pair,0.7048,"23.00,22.00,63.00,75.00","19.00,12.00,66.00,76.00",2120.00,3008.00,0.7048
training_2_frame_063,same_class_iou_match,rule_262,manual_304,early_bud_pair,early_bud_pair,0.8582,"183.00,210.00,225.00,255.00","182.00,206.00,224.00,254.00",1890.00,2016.00,0.9375
training_2_frame_052,same_class_iou_match,rule_250,manual_309,early_bud_pair,early_bud_pair,0.9242,"15.00,93.00,65.00,143.00","13.00,94.00,64.00,143.00",2500.00,2499.00,1.0004
training_2_frame_052,same_class_iou_match,rule_251,manual_310,early_bud_pair,early_bud_pair,0.7836,"4.00,167.00,41.00,218.00","1.00,162.00,44.00,218.00",1887.00,2408.00,0.7836
training_2_frame_026,same_class_iou_match,rule_233,manual_318,early_bud_pair,early_bud_pair,0.7081,"97.00,90.00,148.00,135.00","90.00,94.00,151.00,131.00",2295.00,2257.00,1.0168
training_2_frame_026,same_class_iou_match,rule_232,manual_319,mother_bud_pair,mother_bud_pair,0.6951,"98.00,40.00,142.00,104.00","87.00,37.00,142.00,97.00",2816.00,3300.00,0.8533
training_2_frame_026,same_class_iou_match,rule_234,manual_317,early_bud_pair,early_bud_pair,0.6719,"70.00,150.00,126.00,192.00","66.00,144.00,120.00,188.00",2352.00,2376.00,0.9899
training_2_frame_094,same_class_iou_match,rule_283,manual_329,early_bud_pair,early_bud_pair,0.6940,"97.00,120.00,140.00,159.00","99.00,119.00,141.00,172.00",1677.00,2226.00,0.7534
training_2_frame_094,same_class_iou_match,rule_282,manual_330,early_bud_pair,early_bud_pair,0.6449,"27.00,56.00,70.00,97.00","24.00,57.00,68.00,112.00",1763.00,2420.00,0.7285
training_2_frame_070,same_class_iou_match,rule_266,manual_334,mother_bud_pair,mother_bud_pair,0.8173,"104.00,54.00,148.00,115.00","107.00,51.00,145.00,116.00",2684.00,2470.00,1.0866
training_2_frame_070,same_class_iou_match,rule_264,manual_335,mother_bud_pair,mother_bud_pair,0.7984,"121.00,109.00,183.00,158.00","116.00,114.00,185.00,157.00",3038.00,2967.00,1.0239
training_2_frame_070,same_class_iou_match,rule_265,manual_333,mother_bud_pair,mother_bud_pair,0.7215,"79.00,170.00,129.00,210.00","77.00,169.00,140.00,213.00",2000.00,2772.00,0.7215
training_2_frame_053,same_class_iou_match,rule_254,manual_340,early_bud_pair,early_bud_pair,0.7887,"201.00,83.00,254.00,128.00","198.00,77.00,254.00,131.00",2385.00,3024.00,0.7887
training_2_frame_030,same_class_iou_match,rule_238,manual_342,early_bud_pair,early_bud_pair,0.6934,"54.00,54.00,109.00,94.00","50.00,61.00,103.00,94.00",2200.00,1749.00,1.2579
training_2_frame_016,same_class_iou_match,rule_224,manual_347,early_bud_pair,early_bud_pair,0.7603,"127.00,78.00,166.00,129.00","128.00,80.00,171.00,134.00",1989.00,2322.00,0.8566
