image_id,image_path,width,height,split,annotation_status,notes
45min_after_washout_frame_016,result_pic\from_source_tifs\RGB\45min after washout_frame_016.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_017,result_pic\from_source_tifs\RGB\45min after washout_frame_017.png,256,256,test,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_018,result_pic\from_source_tifs\RGB\45min after washout_frame_018.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
45min_after_washout_frame_019,result_pic\from_source_tifs\RGB\45min after washout_frame_019.png,256,256,train,unreviewed,source_tifs=45min after washout GFP_center.tif;45min after washout_mCherry_center.tif;45min after washout Trans_center.tif
60min_after_washout_frame_000,result_pic\from_source_tifs\RGB\60min after washout_frame_000.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_001,result_pic\from_source_tifs\RGB\60min after washout_frame_001.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_002,result_pic\from_source_tifs\RGB\60min after washout_frame_002.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_003,result_pic\from_source_tifs\RGB\60min after washout_frame_003.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_004,result_pic\from_source_tifs\RGB\60min after washout_frame_004.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_005,result_pic\from_source_tifs\RGB\60min after washout_frame_005.png,256,256,test,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_006,result_pic\from_source_tifs\RGB\60min after washout_frame_006.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_007,result_pic\from_source_tifs\RGB\60min after washout_frame_007.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_008,result_pic\from_source_tifs\RGB\60min after washout_frame_008.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_009,result_pic\from_source_tifs\RGB\60min after washout_frame_009.png,256,256,val,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_010,result_pic\from_source_tifs\RGB\60min after washout_frame_010.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_011,result_pic\from_source_tifs\RGB\60min after washout_frame_011.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_012,result_pic\from_source_tifs\RGB\60min after washout_frame_012.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_013,result_pic\from_source_tifs\RGB\60min after washout_frame_013.png,256,256,val,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_014,result_pic\from_source_tifs\RGB\60min after washout_frame_014.png,256,256,val,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
60min_after_washout_frame_015,result_pic\from_source_tifs\RGB\60min after washout_frame_015.png,256,256,train,unreviewed,source_tifs=60min after washout GFP_center.tif;60min after washout_mCherry_center.tif;60min after washout Trans_center.tif
85min_after_washout_frame_000,result_pic\from_source_tifs\RGB\85min after washout_frame_000.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_001,result_pic\from_source_tifs\RGB\85min after washout_frame_001.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_002,result_pic\from_source_tifs\RGB\85min after washout_frame_002.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_003,result_pic\from_source_tifs\RGB\85min after washout_frame_003.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_004,result_pic\from_source_tifs\RGB\85min after washout_frame_004.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_005,result_pic\from_source_tifs\RGB\85min after washout_frame_005.png,256,256,val,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_006,result_pic\from_source_tifs\RGB\85min after washout_frame_006.png,256,256,test,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_007,result_pic\from_source_tifs\RGB\85min after washout_frame_007.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_008,result_pic\from_source_tifs\RGB\85min after washout_frame_008.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_009,result_pic\from_source_tifs\RGB\85min after washout_frame_009.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_010,result_pic\from_source_tifs\RGB\85min after washout_frame_010.png,256,256,test,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_011,result_pic\from_source_tifs\RGB\85min after washout_frame_011.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_012,result_pic\from_source_tifs\RGB\85min after washout_frame_012.png,256,256,val,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_013,result_pic\from_source_tifs\RGB\85min after washout_frame_013.png,256,256,val,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_014,result_pic\from_source_tifs\RGB\85min after washout_frame_014.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_015,result_pic\from_source_tifs\RGB\85min after washout_frame_015.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_016,result_pic\from_source_tifs\RGB\85min after washout_frame_016.png,256,256,test,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_017,result_pic\from_source_tifs\RGB\85min after washout_frame_017.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_018,result_pic\from_source_tifs\RGB\85min after washout_frame_018.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_019,result_pic\from_source_tifs\RGB\85min after washout_frame_019.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_020,result_pic\from_source_tifs\RGB\85min after washout_frame_020.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_021,result_pic\from_source_tifs\RGB\85min after washout_frame_021.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_022,result_pic\from_source_tifs\RGB\85min after washout_frame_022.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
85min_after_washout_frame_023,result_pic\from_source_tifs\RGB\85min after washout_frame_023.png,256,256,train,unreviewed,source_tifs=85min after washout GFP_center.tif;85min after washout_mCherry_center.tif;85min after washout Trans_center.tif
Colorado+htb2-GFP_frame_000,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_000.png,256,256,val,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_001,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_001.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_002,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_002.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_003,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_003.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_004,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_004.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_005,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_005.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_006,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_006.png,256,256,val,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_007,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_007.png,256,256,val,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_008,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_008.png,256,256,test,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_009,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_009.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_010,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_010.png,256,256,test,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_011,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_011.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_012,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_012.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_013,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_013.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_014,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_014.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_015,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_015.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_016,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_016.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_017,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_017.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_018,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_018.png,256,256,test,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
Colorado+htb2-GFP_frame_019,result_pic\from_source_tifs\RGB\Colorado+htb2-GFP_frame_019.png,256,256,train,unreviewed,source_tifs=Colorado+htb2-GFP_GFP_center.tif;Colorado+htb2-GFP_mCherry_center.tif;Colorado+htb2-GFP_Trans_center.tif
_ess_dense_frame_000,result_pic\from_source_tifs\RGB\_ess dense_frame_000.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_001,result_pic\from_source_tifs\RGB\_ess dense_frame_001.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_002,result_pic\from_source_tifs\RGB\_ess dense_frame_002.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_003,result_pic\from_source_tifs\RGB\_ess dense_frame_003.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_004,result_pic\from_source_tifs\RGB\_ess dense_frame_004.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_005,result_pic\from_source_tifs\RGB\_ess dense_frame_005.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_006,result_pic\from_source_tifs\RGB\_ess dense_frame_006.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_007,result_pic\from_source_tifs\RGB\_ess dense_frame_007.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_008,result_pic\from_source_tifs\RGB\_ess dense_frame_008.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_009,result_pic\from_source_tifs\RGB\_ess dense_frame_009.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_010,result_pic\from_source_tifs\RGB\_ess dense_frame_010.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_011,result_pic\from_source_tifs\RGB\_ess dense_frame_011.png,256,256,val,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_012,result_pic\from_source_tifs\RGB\_ess dense_frame_012.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_013,result_pic\from_source_tifs\RGB\_ess dense_frame_013.png,256,256,test,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_014,result_pic\from_source_tifs\RGB\_ess dense_frame_014.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_015,result_pic\from_source_tifs\RGB\_ess dense_frame_015.png,256,256,val,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_016,result_pic\from_source_tifs\RGB\_ess dense_frame_016.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_017,result_pic\from_source_tifs\RGB\_ess dense_frame_017.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_018,result_pic\from_source_tifs\RGB\_ess dense_frame_018.png,256,256,test,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_019,result_pic\from_source_tifs\RGB\_ess dense_frame_019.png,256,256,test,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
_ess_dense_frame_020,result_pic\from_source_tifs\RGB\_ess dense_frame_020.png,256,256,train,unreviewed,source_tifs=_ess dense_GFP_center.tif;_ess dense_mCherry_center.tif;_ess dense_Trans_center.tif
alphafactor_arrest_frame_000,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_000.png,256,256,val,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_001,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_001.png,256,256,val,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_002,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_002.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_003,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_003.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_004,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_004.png,256,256,test,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_005,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_005.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_006,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_006.png,256,256,val,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_007,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_007.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_008,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_008.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_009,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_009.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_010,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_010.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_011,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_011.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_012,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_012.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_013,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_013.png,256,256,val,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_014,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_014.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_015,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_015.png,256,256,val,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_016,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_016.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_017,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_017.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_018,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_018.png,256,256,val,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_019,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_019.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_020,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_020.png,256,256,train,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
alphafactor_arrest_frame_021,result_pic\from_source_tifs\RGB\alphafactor arrest_frame_021.png,256,256,test,unreviewed,source_tifs=alphafactor arrest GFP_center.tif;alphafactor arrest mCherry_center.tif;alphafactor arrest Trans_center.tif
